path,label
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/E.2_tausyih_sika_turki_ar-rahman/2.1_ar-rahman_sika_ashli_v3_a.wav,39
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/E.2_tausyih_sika_turki_ar-rahman/2.2_ar-rahman_sika_ashli_v3_a.wav,39
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/E.2_tausyih_sika_turki_ar-rahman/2.3_ar-rahman_sika_ashli_v3_a.wav,39
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/E.2_tausyih_sika_turki_ar-rahman/2.4_ar-rahman_sika_ashli_v3_a.wav,39
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/E.2_tausyih_sika_turki_ar-rahman/2.5_ar-rahman_sika_ashli_v3_a.wav,39
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/E.2_tausyih_sika_turki_ar-rahman/2.6_ar-rahman_sika_ashli_v3_b.wav,39
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/d1.2_ar-rahman_rast_zunjiran/2.0_ar-rahman_rast_zunjiran_v3_a.wav,47
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/d1.2_ar-rahman_rast_zunjiran/2.1_ar-rahman_rast_zunjiran_v3_a.wav,47
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/d1.2_ar-rahman_rast_zunjiran/2.2_ar-rahman_rast_zunjiran_v3_a.wav,47
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.2_tausyih_rast_alanawa_5_ar-rahman/3.4.0_ar-rahman_rast_alanawa_v3_a.wav,37
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.2_tausyih_rast_alanawa_5_ar-rahman/3.4.1_ar-rahman_rast_alanawa_v3_a.wav,37
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.2_tausyih_rast_alanawa_5_ar-rahman/3.4.2_ar-rahman_rast_alanawa_v3_a.wav,37
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.2_tausyih_rast_alanawa_5_ar-rahman/3.4.3_ar-rahman_rast_alanawa_v3_a.wav,37
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.2_tausyih_rast_alanawa_5_ar-rahman/3.4.0_tausyih_rast_alanawa_v3_a.wav,37
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.2_tausyih_rast_alanawa_5_ar-rahman/3.4.1_tausyih_rast_alanawa_v3_a.wav,37
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.2_tausyih_rast_alanawa_5_ar-rahman/3.4.2_tausyih_rast_alanawa_v3_a.wav,37
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.2_tausyih_rast_alanawa_5_ar-rahman/3.4.3_tausyih_rast_alanawa_v3_a.wav,37
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.2_tausyih_rast_alanawa_5_ar-rahman/3.4.4_tausyih_rast_alanawa_v3_a.wav,37
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/G.1_tausyih_nahawand_ashli_ar-rahman/1.1_tausyih_nahawand_ashli_v3_b.wav,44
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/G.1_tausyih_nahawand_ashli_ar-rahman/1.2_tausyih_nahawand_ashli_v3_b.wav,44
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/G.1_tausyih_nahawand_ashli_ar-rahman/1.3_tausyih_nahawand_ashli_v3_b.wav,44
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/G.1_tausyih_nahawand_ashli_ar-rahman/1.0.0_ar-rahman_nahawand_ashli_v3_b.wav,44
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/G.1_tausyih_nahawand_ashli_ar-rahman/1.0.1_ar-rahman_nahawand_ashli_v3_b.wav,44
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/G.1_tausyih_nahawand_ashli_ar-rahman/1.0.2_ar-rahman_nahawand_ashli_v3_b.wav,44
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/G.1_tausyih_nahawand_ashli_ar-rahman/1.0.3_ar-rahman_nahawand_ashli_v3_b.wav,44
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/G.1_tausyih_nahawand_ashli_ar-rahman/1.0.4_ar-rahman_nahawand_ashli_v3_b.wav,44
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/G.1_tausyih_nahawand_ashli_ar-rahman/1.0.5_ar-rahman_nahawand_ashli_v3_b.wav,44
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/G.1_tausyih_nahawand_ashli_ar-rahman/1.1.0_ar-rahman_nahawand_ashli_v3_b.wav,44
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/G.1_tausyih_nahawand_ashli_ar-rahman/1.1.1_ar-rahman_nahawand_ashli_v3_b.wav,44
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/G.1_tausyih_nahawand_ashli_ar-rahman/1.1.2_ar-rahman_nahawand_ashli_v3_b.wav,44
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/G.1_tausyih_nahawand_ashli_ar-rahman/1.1.3_ar-rahman_nahawand_ashli_v3_b.wav,44
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/G.1_tausyih_nahawand_ashli_ar-rahman/1.1.4_ar-rahman_nahawand_ashli_v3_b.wav,44
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/G.1_tausyih_nahawand_ashli_ar-rahman/1.1.5_ar-rahman_nahawand_ashli_v3_b.wav,44
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/G.1_tausyih_nahawand_ashli_ar-rahman/1.2.0_ar-rahman_nahawand_ashli_v3_b.wav,44
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/G.1_tausyih_nahawand_ashli_ar-rahman/1.2.1_ar-rahman_nahawand_ashli_v3_b.wav,44
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/G.1_tausyih_nahawand_ashli_ar-rahman/1.0_tausyih_nahawand_ashli_v3_b.wav,44
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/G.2_tausyih_nahawand_jawab_ar-rahman/2.0_tausyih_nahawand_jawab_v3_b.wav,45
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/G.2_tausyih_nahawand_jawab_ar-rahman/2.1_tausyih_nahawand_jawab_v3_b.wav,45
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/G.2_tausyih_nahawand_jawab_ar-rahman/2.2_tausyih_nahawand_jawab_v3_b.wav,45
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/G.2_tausyih_nahawand_jawab_ar-rahman/2.3_tausyih_nahawand_jawab_v3_b.wav,45
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/G.2_tausyih_nahawand_jawab_ar-rahman/2.4_tausyih_nahawand_jawab_v3_b.wav,45
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/G.2_tausyih_nahawand_jawab_ar-rahman/2.5_tausyih_nahawand_jawab_v3_b.wav,45
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/G.2_tausyih_nahawand_jawab_ar-rahman/2.0_ar-rahman_nahawand_jawab_v3_b.wav,45
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/G.2_tausyih_nahawand_jawab_ar-rahman/2.1_ar-rahman_nahawand_jawab_v3_b.wav,45
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/F.1_tausyih_jiharkah_ashli_ar-rahman/1.0_tausyih_jiharkah_ashli_v3_b.wav,41
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/F.1_tausyih_jiharkah_ashli_ar-rahman/1.1_tausyih_jiharkah_ashli_v3_b.wav,41
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/F.1_tausyih_jiharkah_ashli_ar-rahman/1.2_tausyih_jiharkah_ashli_v3_b.wav,41
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/F.1_tausyih_jiharkah_ashli_ar-rahman/1.3_tausyih_jiharkah_ashli_v3_b.wav,41
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/F.1_tausyih_jiharkah_ashli_ar-rahman/1.4_tausyih_jiharkah_ashli_v3_b.wav,41
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/F.1_tausyih_jiharkah_ashli_ar-rahman/1.5_tausyih_jiharkah_ashli_v3_b.wav,41
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/F.1_tausyih_jiharkah_ashli_ar-rahman/1.6_tausyih_jiharkah_ashli_v3_b.wav,41
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/F.1_tausyih_jiharkah_ashli_ar-rahman/1.7_tausyih_jiharkah_ashli_v3_b.wav,41
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/F.1_tausyih_jiharkah_ashli_ar-rahman/1.0_ar-rahman_jiharkah_ashli_v3_b.wav,41
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/F.1_tausyih_jiharkah_ashli_ar-rahman/1.1_ar-rahman_jiharkah_ashli_v3_b.wav,41
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/F.1_tausyih_jiharkah_ashli_ar-rahman/1.2_ar-rahman_jiharkah_ashli_v3_b.wav,41
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/F.1_tausyih_jiharkah_ashli_ar-rahman/1.3_ar-rahman_jiharkah_ashli_v3_b.wav,41
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/F.1_tausyih_jiharkah_ashli_ar-rahman/1.4_ar-rahman_jiharkah_ashli_v3_b.wav,41
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/F.1_tausyih_jiharkah_ashli_ar-rahman/1.5_ar-rahman_jiharkah_ashli_v3_b.wav,41
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/F.1_tausyih_jiharkah_ashli_ar-rahman/1.6_ar-rahman_jiharkah_ashli_v3_b.wav,41
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/F.1_tausyih_jiharkah_ashli_ar-rahman/1.7_ar-rahman_jiharkah_ashli_v3_b.wav,41
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/F.1_tausyih_jiharkah_ashli_ar-rahman/1.8_ar-rahman_jiharkah_ashli_v3_b.wav,41
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/F.1_tausyih_jiharkah_ashli_ar-rahman/1.9_ar-rahman_jiharkah_ashli_v3_b.wav,41
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/F.1_tausyih_jiharkah_ashli_ar-rahman/1.10_ar-rahman_jiharkah_ashli_v3_b.wav,41
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/E.1_tausyih_sika_ashli_ar-rahman/1.0_tausyih_sika_ashli_v3_a.wav,38
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/E.1_tausyih_sika_ashli_ar-rahman/1.1_tausyih_sika_ashli_v3_a.wav,38
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/E.1_tausyih_sika_ashli_ar-rahman/1.2_tausyih_sika_ashli_v3_a.wav,38
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/E.1_tausyih_sika_ashli_ar-rahman/1.3_tausyih_sika_ashli_v3_a.wav,38
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/E.1_tausyih_sika_ashli_ar-rahman/1.0_ar-rahman_sika_ashli_v3_a.wav,38
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/E.1_tausyih_sika_ashli_ar-rahman/1.1_ar-rahman_sika_ashli_v3_a.wav,38
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/E.1_tausyih_sika_ashli_ar-rahman/1.2_ar-rahman_sika_ashli_v3_a.wav,38
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/E.1_tausyih_sika_ashli_ar-rahman/1.3_ar-rahman_sika_ashli_v3_a.wav,38
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/E.1_tausyih_sika_ashli_ar-rahman/1.4_ar-rahman_sika_ashli_v3_a.wav,38
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/E.1_tausyih_sika_ashli_ar-rahman/1.5_ar-rahman_sika_ashli_v3_a.wav,38
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/F.2_tausyih_jiharkah_jawab/2.0.0_tausyih_jiharkah_jawab_v3_b.wav,42
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/F.2_tausyih_jiharkah_jawab/2.0.1_tausyih_jiharkah_jawab_v3_b.wav,42
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/F.2_tausyih_jiharkah_jawab/2.0.2_tausyih_jiharkah_jawab_v3_b.wav,42
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/F.2_tausyih_jiharkah_jawab/2.0.3_tausyih_jiharkah_jawab_v3_b.wav,42
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/F.2_tausyih_jiharkah_jawab/2.0.4_tausyih_jiharkah_jawab_v3_b.wav,42
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/C.4_tausyih_hijaz_kur/4.0_tausyih_hijaz_kur_v2_b.wav,30
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/C.4_tausyih_hijaz_kur/4.1_tausyih_hijaz_kur_v2_b.wav,30
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/C.4_tausyih_hijaz_kur/4.2_tausyih_hijaz_kur_v2_b.wav,30
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.2_tausyih_rast_alanawa_4/3.3.0_tausyih_rast_alanawa_v3_a.wav,36
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.2_tausyih_rast_alanawa_4/3.3.1_tausyih_rast_alanawa_v3_a.wav,36
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.2_tausyih_rast_alanawa_4/3.3.5_tausyih_rast_alanawa_v3_a.wav,36
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.2_tausyih_rast_alanawa_4/3.3.2_tausyih_rast_alanawa_v3_a.wav,36
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.2_tausyih_rast_alanawa_4/3.3.6_tausyih_rast_alanawa_v3_a.wav,36
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.2_tausyih_rast_alanawa_4/3.3.7_tausyih_rast_alanawa_v3_a.wav,36
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.2_tausyih_rast_alanawa_4/3.3.3_tausyih_rast_alanawa_v3_a.wav,36
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.2_tausyih_rast_alanawa_4/3.3.8_tausyih_rast_alanawa_v3_a.wav,36
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.2_tausyih_rast_alanawa_4/3.3.4_tausyih_rast_alanawa_v3_a.wav,36
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/C.1_tausyih_hijaz_ashli_6/1.5.1_tausyih_hijaz_ashli_v2_b.wav,27
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/C.1_tausyih_hijaz_ashli_6/1.5.0_tausyih_hijaz_ashli_v2_b.wav,27
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/C.3_tausyih_hijaz_karkur/3.0_tausyih_hijaz_karkur_v2_b.wav,29
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/C.3_tausyih_hijaz_karkur/3.2_tausyih_hijaz_karkur_v2_b.wav,29
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/C.3_tausyih_hijaz_karkur/3.3_tausyih_hijaz_karkur_v2_b.wav,29
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/C.3_tausyih_hijaz_karkur/3.4_tausyih_hijaz_karkur_v2_b.wav,29
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/C.3_tausyih_hijaz_karkur/3.5_tausyih_hijaz_karkur_v2_b.wav,29
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/C.3_tausyih_hijaz_karkur/3.6_tausyih_hijaz_karkur_v2_b.wav,29
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/C.3_tausyih_hijaz_karkur/3.0_ar-rahman_hijaz_karkur_v2_b.wav,29
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/C.3_tausyih_hijaz_karkur/3.1_ar-rahman_hijaz_karkur_v2_b.wav,29
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/C.3_tausyih_hijaz_karkur/3.2_ar-rahman_hijaz_karkur_v2_b.wav,29
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/C.3_tausyih_hijaz_karkur/3.3_ar-rahman_hijaz_karkur_v2_b.wav,29
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/C.3_tausyih_hijaz_karkur/3.4_ar-rahman_hijaz_karkur_v2_b.wav,29
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/C.3_tausyih_hijaz_karkur/3.5_ar-rahman_hijaz_karkur_v2_b.wav,29
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/C.3_tausyih_hijaz_karkur/3.1_tausyih_hijaz_karkur_v2_b.wav,29
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.1_tausyih_rast_ashli_3/1.2.0_tausyih_rast_ashli_v3_a.wav,33
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.1_tausyih_rast_ashli_3/1.2.1_tausyih_rast_ashli_v3_a.wav,33
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.2_tausyih_rast_alanawa_2_ar-rahman/3.1.0_tausyih_rast_alanawa_v3_a.wav,35
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.2_tausyih_rast_alanawa_2_ar-rahman/3.1.1_tausyih_rast_alanawa_v3_a.wav,35
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.2_tausyih_rast_alanawa_2_ar-rahman/3.1.2_tausyih_rast_alanawa_v3_a.wav,35
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.2_tausyih_rast_alanawa_2_ar-rahman/3.1.3_tausyih_rast_alanawa_v3_a.wav,35
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.2_tausyih_rast_alanawa_2_ar-rahman/3.1.4_tausyih_rast_alanawa_v3_a.wav,35
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.2_tausyih_rast_alanawa_2_ar-rahman/3.1.0_ar-rahman_rast_alanawa_v3_a.wav,35
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.2_tausyih_rast_alanawa_2_ar-rahman/3.1.1_ar-rahman_rast_alanawa_v3_a.wav,35
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.2_tausyih_rast_alanawa_2_ar-rahman/3.1.2_ar-rahman_rast_alanawa_v3_a.wav,35
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.2_tausyih_rast_alanawa_2_ar-rahman/3.1.3_ar-rahman_rast_alanawa_v3_a.wav,35
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.1_tausyih_rast_ashli_1/1.0.0_tausyih_rast_ashli_v3_a.wav,31
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.1_tausyih_rast_ashli_1/3.0.0_tausyih_rast_alanawa_v3_a.wav,31
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.1_tausyih_rast_ashli_1/1.0.4_tausyih_rast_alanawa_v3_a.wav,31
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.1_tausyih_rast_ashli_1/3.2.0_tausyih_rast_alanawa_v3_a.wav,31
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.1_tausyih_rast_ashli_1/1.0.1_tausyih_rast_ashli_v3_a.wav,31
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.1_tausyih_rast_ashli_1/1.0.2_tausyih_rast_ashli_v3_a.wav,31
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.1_tausyih_rast_ashli_1/1.0.3_tausyih_rast_ashli_v3_a.wav,31
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.1_tausyih_rast_ashli_1/3.0.1_tausyih_rast_alanawa_v3_a.wav,31
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.1_tausyih_rast_ashli_1/1.0.5_tausyih_rast_alanawa_v3_a.wav,31
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.1_tausyih_rast_ashli_1/3.2.1_tausyih_rast_alanawa_v3_a.wav,31
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.1_tausyih_rast_ashli_1/3.0.2_tausyih_rast_alanawa_v3_a.wav,31
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.1_tausyih_rast_ashli_1/1.0.6_tausyih_rast_alanawa_v3_a.wav,31
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.1_tausyih_rast_ashli_1/3.2.2_tausyih_rast_alanawa_v3_a.wav,31
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.1_tausyih_rast_ashli_1/3.0.3_tausyih_rast_alanawa_v3_a.wav,31
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.1_tausyih_rast_ashli_1/1.0.7_tausyih_rast_alanawa_v3_a.wav,31
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.1_tausyih_rast_ashli_1/3.2.3_tausyih_rast_alanawa_v3_a.wav,31
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.1_tausyih_rast_ashli_1/3.0.4_tausyih_rast_alanawa_v3_a.wav,31
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.1_tausyih_rast_ashli_1/1.0.8_tausyih_rast_alanawa_v3_a.wav,31
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.1_tausyih_rast_ashli_1/3.2.4_tausyih_rast_alanawa_v3_a.wav,31
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.1_tausyih_rast_ashli_4_ar-rahman/1.3.0_tausyih_rast_ashli_v3_a.wav,34
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.1_tausyih_rast_ashli_4_ar-rahman/1.3.1_tausyih_rast_ashli_v3_a.wav,34
/content/drive/MyDrive/Colab Notebooks/Audio Nagham Recognition/dataset/D.1_tausyih_rast_ashli_4_ar-rahman/1.3.0_ar-rahman_rast_ashli_v3_a.wav,34
